INDICATOR_CODE,INDICATOR_NAME,SOURCE_NOTE,SOURCE_ORGANIZATION
SE.ENR.TERT.FM.ZS,Gross enrolment ratio; tertiary; gender parity index (GPI),Ratio of female gross enrolment ratio for tertiary to male gross enrolment ratio for tertiary. It is calculated by dividing the female value for the indicator by the male value for the indicator. A GPI equal to 1 indicates parity between females and males. In general; a value less than 1 indicates disparity in favor of males and a value greater than 1 indicates disparity in favor of females.,UNESCO Institute for Statistics
SE.PRE.ENRR.FE,Gross enrolment ratio; pre-primary; female (%),Total female enrollment in pre-primary education; regardless of age; expressed as a percentage of the total female population of official pre-primary education age. GER can exceed 100% due to the inclusion of over-aged and under-aged students because of early or late school entrance and grade repetition.,UNESCO Institute for Statistics
SE.PRE.ENRR.MA,Gross enrolment ratio; pre-primary; male (%),Total male enrollment in pre-primary education; regardless of age; expressed as a percentage of the total male population of official pre-primary education age. GER can exceed 100% due to the inclusion of over-aged and under-aged students because of early or late school entrance and grade repetition.,UNESCO Institute for Statistics
SE.PRM.CMPT.FE.ZS,Primary completion rate; female (%),"Total number of new female entrants in the last grade of primary education; regardless of age; expressed as percentage of the total female population of the theoretical entrance age to the last grade of primary. This indicator is also known as ""gross intake rate to the last grade of primary education."" The ratio can exceed 100% due to over-aged and under-aged children who enter primary school late/early and/or repeat grades.",UNESCO Institute for Statistics
SE.PRM.CMPT.MA.ZS,Primary completion rate; male (%),"Total number of new male entrants in the last grade of primary education; regardless of age; expressed as percentage of the total male population of the theoretical entrance age to the last grade of primary. This indicator is also known as ""gross intake rate to the last grade of primary education."" The ratio can exceed 100% due to over-aged and under-aged children who enter primary school late/early and/or repeat grades.",UNESCO Institute for Statistics
SE.PRM.ENRL.FE.ZS,Percentage of students in primary education who are female (%),Number of female students at the primary level expressed as a percentage of the total number of students (male and female) at the primary level in a given school year.,UNESCO Institute for Statistics
SE.PRM.ENRR.FE,Gross enrolment ratio; primary; female (%),Total female enrollment in primary education; regardless of age; expressed as a percentage of the female population of official primary education age. GER can exceed 100% due to the inclusion of over-aged and under-aged students because of early or late school entrance and grade repetition.,UNESCO Institute for Statistics
SE.PRM.ENRR.MA,Gross enrolment ratio; primary; male (%),Total male enrollment in primary education; regardless of age; expressed as a percentage of the male population of official primary education age. GER can exceed 100% due to the inclusion of over-aged and under-aged students because of early or late school entrance and grade repetition.,UNESCO Institute for Statistics
SE.PRM.GINT.FE.ZS,Gross intake ratio to Grade 1 of primary education; female (%),Total number of new female entrants in the first grade of primary education; regardless of age; expressed as a percentage of the population at the official primary school-entrance age. A high GIR indicates a high degree of access to primary education. As this calculation includes all new entrants in Grade 1 (regardless of age); the ratio can exceed 100% due to over-aged and under-aged children entering primary school for the first time.,UNESCO Institute for Statistics
SE.PRM.GINT.MA.ZS,Gross intake ratio to Grade 1 of primary education; male (%),Total number of new male entrants in the first grade of primary education; regardless of age; expressed as a percentage of the population at the official primary school-entrance age. A high GIR indicates a high degree of access to primary education. As this calculation includes all new entrants in Grade 1 (regardless of age); the ratio can exceed 100% due to over-aged and under-aged children entering primary school for the first time.,UNESCO Institute for Statistics
SE.PRM.NENR.FE,Net enrolment rate; primary; female (%),Total number of female students in the theoretical age group for primary education enrolled in that level; expressed as a percentage of the total female population in that age group. Divide the number of female students enrolled who are of the official age group for primary education by the female population for the same age group and multiply the result by 100. NER at each level of education should be based on enrolment of the relevant age group in all types of schools and education institutions; including public; private and all other institutions that provide organized educational programmes. A high NER denotes a high degree of coverage for the official school-age population. The theoretical maximum value is 100%. Increasing trends can be considered as reflecting improving coverage at the specified level of education. When the NER is compared with the GER; the difference between the two highlights the incidence of under-aged and over-aged enrolment. If the NER is below 100%; then the complement; i.e. the difference with 100%; provides a measure of the proportion of children not enrolled at the specified level of education. However; since some of these children/youth could be enrolled at other levels of education; this difference should in no way be considered as indicating the percentage of students not enrolled. To measure universal primary education; for example; adjusted primary NER is calculated on the basis of the percentage of children in the official primary school age range who are enrolled in either primary or secondary education. A more precise complementary indicator is the Age-specific enrolment ratio (ASER) which shows the participation in education of the population of each particular age; regardless of the level of education.,UNESCO Institute for Statistics
SE.PRM.NENR.MA,Net enrolment rate; primary; male (%),Total number of male students in the theoretical age group for primary education enrolled in that level; expressed as a percentage of the total male population in that age group. Divide the number of male students enrolled who are of the official age group for primary education by the male population for the same age group and multiply the result by 100. NER at each level of education should be based on enrolment of the relevant age group in all types of schools and education institutions; including public; private and all other institutions that provide organized educational programmes. A high NER denotes a high degree of coverage for the official school-age population. The theoretical maximum value is 100%. Increasing trends can be considered as reflecting improving coverage at the specified level of education. When the NER is compared with the GER; the difference between the two highlights the incidence of under-aged and over-aged enrolment. If the NER is below 100%; then the complement; i.e. the difference with 100%; provides a measure of the proportion of children not enrolled at the specified level of education. However; since some of these children/youth could be enrolled at other levels of education; this difference should in no way be considered as indicating the percentage of students not enrolled. To measure universal primary education; for example; adjusted primary NER is calculated on the basis of the percentage of children in the official primary school age range who are enrolled in either primary or secondary education. A more precise complementary indicator is the Age-specific enrolment ratio (ASER) which shows the participation in education of the population of each particular age; regardless of the level of education.,UNESCO Institute for Statistics
SE.PRM.NINT.FE.ZS,Net intake rate to Grade 1 of primary education; female (%),Number of new female entrants in the first grade of primary education who are of the official primary school-entrance age; expressed as a percentage of the female population of the same age.,UNESCO Institute for Statistics
SE.PRM.NINT.MA.ZS,Net intake rate to Grade 1 of primary education; male (%),Number of new male entrants in the first grade of primary education who are of the official primary school-entrance age; expressed as a percentage of the male population of the same age.,UNESCO Institute for Statistics
SE.PRM.PRS5.FE.ZS,Survival rate to Grade 5 of primary education; female (%),Percentage of a cohort of female students enrolled in the first grade of primary education in a given school year who are expected to reach grade 5; regardless of repetition. Divide the total number of students belonging to a school-cohort who reached each successive grade of primary education by the number of students in the school-cohort i.e. those originally enrolled in the first grade of primary education; and multiply the result by 100. The survival rate is calculated on the basis of the reconstructed cohort method; which uses data on enrolment and repeaters for two consecutive years.,UNESCO Institute for Statistics
SE.PRM.PRS5.MA.ZS,Survival rate to Grade 5 of primary education; male (%),Percentage of a cohort of male students enrolled in the first grade of primary education in a given school year who are expected to reach grade 5; regardless of repetition. Divide the total number of students belonging to a school-cohort who reached each successive grade of primary education by the number of students in the school-cohort i.e. those originally enrolled in the first grade of primary education; and multiply the result by 100. The survival rate is calculated on the basis of the reconstructed cohort method; which uses data on enrolment and repeaters for two consecutive years.,UNESCO Institute for Statistics
SE.PRM.PRSL.FE.ZS,Survival rate to the last grade of primary education; female (%),Percentage of a cohort of female students enrolled in the first grade of primary education in a given school year who are expected to reach the last grade of primary education; regardless of repetition. Divide the total number of students belonging to a school-cohort who reached each successive grade of primary education by the number of students in the school-cohort i.e. those originally enrolled in the first grade of primary education; and multiply the result by 100. The survival rate is calculated on the basis of the reconstructed cohort method; which uses data on enrolment and repeaters for two consecutive years.,UNESCO Institute for Statistics
SE.PRM.PRSL.MA.ZS,Survival rate to the last grade of primary education; male (%),Percentage of a cohort of male students enrolled in the first grade of primary education in a given school year who are expected to reach the last grade of primary education; regardless of repetition. Divide the total number of students belonging to a school-cohort who reached each successive grade of primary education by the number of students in the school-cohort i.e. those originally enrolled in the first grade of primary education; and multiply the result by 100. The survival rate is calculated on the basis of the reconstructed cohort method; which uses data on enrolment and repeaters for two consecutive years.,UNESCO Institute for Statistics
SE.PRM.REPT.FE.ZS,Percentage of repeaters in primary education; all grades; female (%),Total number of female students enrolled in the same grade as in the previous year; expressed as a percentage of all female students enrolled in primary school. It is calculated by dividing the sum of female repeaters in all grades of primary education by the total female enrolment of primary education and multiplying the result by 100. The definition of repeaters should be unambiguously applied to include even pupils repeating more than once in the same grade and those who repeat the same grade while transferring from one school to another. Students who were not studying in the same grade in the previous year should be excluded.,UNESCO Institute for Statistics
SE.PRM.REPT.MA.ZS,Percentage of repeaters in primary education; all grades; male (%),Total number of male students enrolled in the same grade as in the previous year; expressed as a percentage of all male students enrolled in primary school. It is calculated by dividing the sum of male repeaters in all grades of primary education by the total male enrolment of primary education and multiplying the result by 100. The definition of repeaters should be unambiguously applied to include even pupils repeating more than once in the same grade and those who repeat the same grade while transferring from one school to another. Students who were not studying in the same grade in the previous year should be excluded.,UNESCO Institute for Statistics
SE.PRM.TCAQ.FE.ZS,Percentage of female teachers in primary education who are trained; female (%),Trained teachers in primary education are the percentage of primary school teachers who have received the minimum organized teacher training (pre-service or in-service) required for teaching in a given country.,United Nations Educational; Scientific; and Cultural Organization (UNESCO) Institute for Statistics.
SE.PRM.TCAQ.MA.ZS,Percentage of male teachers in primary education who are trained; male (%),Trained teachers in primary education are the percentage of primary school teachers who have received the minimum organized teacher training (pre-service or in-service) required for teaching in a given country.,United Nations Educational; Scientific; and Cultural Organization (UNESCO) Institute for Statistics.
SE.PRM.TCHR.FE.ZS,Percentage of teachers in primary education who are female (%),Number of female teachers at the primary level expressed as a percentage of the total number of teachers (male and female) at the primary level in a given school year. Teachers are persons employed full time or part time in an official capacity to guide and direct the learning experience of pupils and students; irrespective of their qualifications or the delivery mechanism; i.e. face-to-face and/or at a distance. This definition excludes educational personnel who have no active teaching duties (e.g. headmasters; headmistresses or principals who do not teach) and persons who work occasionally or in a voluntary capacity in educational institutions.,UNESCO Institute for Statistics
SE.PRM.TENR.FE,Adjusted net enrolment rate; primary; female (%),Total number of female students of the official primary school age group who are enrolled at primary or secondary education; expressed as a percentage of the corresponding female population. Divide the total number of female students in the official primary school age range who are enrolled in primary or secondary education by the female population of the same age group and multiply the result by 100. NERA should be based on total enrolment of the official primary school participation age group in primary and secondary education for all types of schools and education institutions; including public; private and all other institutions that provide organized educational programmes (pre-primary education must be excluded). NERA gives more precise measure of the participation of the official primary school age population to the education system (excluding pre-primary education). It reflects the actual level of achievement of the Universal Primary Education (UPE) goal. In fact; while the Net enrolment rate (NER) shows the coverage of pupils in the official primary school age group in the primary education level only; the NERA extends the measure to those of the official primary school age range who have reached secondary education because they might access primary education earlier than the official entrance or they might skip some grades due to their performance. Increasing NERA might mirror improving participation of children in the official primary school age; the decrease of the target population or both. A value of 100% indicates theoretically that the country has accomplished the UPE goal. However; this condition is not sufficient for UPE due to; for example; a high repetition rate; which might lead pupils to dropout after primary school age without completing primary education. The difference between NERA and NER provides a measure of the proportion of children in the official primary age group who are enrolled in secondary education.,UNESCO Institute for Statistics
SE.PRM.TENR.MA,Adjusted net enrolment rate; primary; male (%),Total number of male students of the official primary school age group who are enrolled at primary or secondary education; expressed as a percentage of the corresponding male population. Divide the total number of male students in the official primary school age range who are enrolled in primary or secondary education by the male population of the same age group and multiply the result by 100. NERA should be based on total enrolment of the official primary school participation age group in primary and secondary education for all types of schools and education institutions; including public; private and all other institutions that provide organized educational programmes (pre-primary education must be excluded). NERA gives more precise measure of the participation of the official primary school age population to the education system (excluding pre-primary education). It reflects the actual level of achievement of the Universal Primary Education (UPE) goal. In fact; while the Net enrolment rate (NER) shows the coverage of pupils in the official primary school age group in the primary education level only; the NERA extends the measure to those of the official primary school age range who have reached secondary education because they might access primary education earlier than the official entrance or they might skip some grades due to their performance. Increasing NERA might mirror improving participation of children in the official primary school age; the decrease of the target population or both. A value of 100% indicates theoretically that the country has accomplished the UPE goal. However; this condition is not sufficient for UPE due to; for example; a high repetition rate; which might lead pupils to dropout after primary school age without completing primary education. The difference between NERA and NER provides a measure of the proportion of children in the official primary age group who are enrolled in secondary education.,UNESCO Institute for Statistics
SE.PRM.UNER.FE,Out-of-school children of primary school age; female (number),Female children in the official primary school age range who are not enrolled in either primary or secondary schools.,UNESCO Institute for Statistics
SE.PRM.UNER.MA,Out-of-school children of primary school age; male (number),Male children in the official primary school age range who are not enrolled in either primary or secondary schools.,UNESCO Institute for Statistics
SE.SEC.ENRL.FE.ZS,Percentage of students in secondary education who are female (%),Number of female students enrolled in all secondary education programmes expressed as a percentage of the total number of students (male and female) enrolled at the secondary education level in a given school year.,UNESCO Institute for Statistics
SE.SEC.ENRL.GC.FE.ZS,Percentage of students in secondary general education who are female (%),Number of female students enrolled in general programmes at the secondary education level expressed as a percentage of the total number of students (male and female) enrolled in general programmes at the secondary education level in a given school year.,UNESCO Institute for Statistics
SE.SEC.ENRL.VO.FE.ZS,Percentage of students in secondary vocational education who are female (%),Number of female students enrolled in vocational programmes at the secondary education level expressed as a percentage of the total number of students (male and female) enrolled in vocational programmes at the secondary education level in a given school year.,UNESCO Institute for Statistics
SE.SEC.ENRR.FE,Gross enrolment ratio; secondary; female (%),Total female enrollment in secondary education; regardless of age; expressed as a percentage of the female population of official secondary education age. GER can exceed 100% due to the inclusion of over-aged and under-aged students because of early or late school entrance and grade repetition.,UNESCO Institute for Statistics
SE.SEC.ENRR.MA,Gross enrolment ratio; secondary; male (%),Total male enrollment in secondary education; regardless of age; expressed as a percentage of the male population of official secondary education age. GER can exceed 100% due to the inclusion of over-aged and under-aged students because of early or late school entrance and grade repetition.,UNESCO Institute for Statistics
SE.SEC.NENR.FE,Net enrolment rate; secondary; female (%),Total number of female students in the theoretical age group for secondary education enrolled in that level; expressed as a percentage of the total female population in that age group. Divide the number of female students enrolled who are of the official age group for secondary education by the female population for the same age group and multiply the result by 100. NER at each level of education should be based on enrolment of the relevant age group in all types of schools and education institutions; including public; private and all other institutions that provide organized educational programmes.,UNESCO Institute for Statistics
SE.SEC.NENR.MA,Net enrolment rate; secondary; male (%),Total number of male students in the theoretical age group for secondary education enrolled in that level; expressed as a percentage of the total male population in that age group. Divide the number of male students enrolled who are of the official age group for secondary education by the male population for the same age group and multiply the result by 100. NER at each level of education should be based on enrolment of the relevant age group in all types of schools and education institutions; including public; private and all other institutions that provide organized educational programmes.,UNESCO Institute for Statistics
SE.SEC.PROG.FE.ZS,"Effective transition rate from primary to lower secondary general education; female (%)
","Number of female students admitted to the first grade of a higher level of education in a given year; expressed as a percentage of the number of female students enrolled in the final grade of the lower level of education in the previous year. Divide the number of new female entrants in the first grade of the specified higher cycle or level of education by the number of female pupils who were enrolled in the final grade of the preceding cycle or level of education in the previous school year; and multiply by 100. High transition rates indicate a high level of access or transition from one level of education to the next. They also reflect the intake capacity of the next level of education. Inversely; low transition rates can signal problems in the bridging between two cycles or levels of education; due to either deficiencies in the examination system; or inadequate admission capacity in the higher cycle or level of education; or both. This indicator can be distorted by incorrect distinction between new entrants and repeaters; especially in the first grade of the specified higher level of education. Students who interrupted their studies for one or more years after having completed the lower level of education; together with the migrant students; could also affect the quality of this indicator.
",UNESCO Institute for Statistics
SE.SEC.PROG.MA.ZS,"Effective transition rate from primary to lower secondary general education; male (%)
","Number of male students admitted to the first grade of a higher level of education in a given year; expressed as a percentage of the number of male students enrolled in the final grade of the lower level of education in the previous year. Divide the number of new male entrants in the first grade of the specified higher cycle or level of education by the number of male pupils who were enrolled in the final grade of the preceding cycle or level of education in the previous school year; and multiply by 100. High transition rates indicate a high level of access or transition from one level of education to the next. They also reflect the intake capacity of the next level of education. Inversely; low transition rates can signal problems in the bridging between two cycles or levels of education; due to either deficiencies in the examination system; or inadequate admission capacity in the higher cycle or level of education; or both. This indicator can be distorted by incorrect distinction between new entrants and repeaters; especially in the first grade of the specified higher level of education. Students who interrupted their studies for one or more years after having completed the lower level of education; together with the migrant students; could also affect the quality of this indicator.
",UNESCO Institute for Statistics
SE.SEC.TCHR.FE.ZS,Percentage of teachers in secondary education who are female (%),Number of female teachers at the secondary level expressed as a percentage of the total number of teachers (male and female) at the secondary level in a given school year. Teachers are persons employed full time or part time in an official capacity to guide and direct the learning experience of pupils and students; irrespective of their qualifications or the delivery mechanism; i.e. face-to-face and/or at a distance. This definition excludes educational personnel who have no active teaching duties (e.g. headmasters; headmistresses or principals who do not teach) and persons who work occasionally or in a voluntary capacity in educational institutions.,UNESCO Institute for Statistics
SE.TER.ENRR.FE,Gross enrolment ratio; tertiary; female (%),Total female enrollment in tertiary education (ISCED 5 to 8); regardless of age; expressed as a percentage of the total female population of the five-year age group following on from secondary school leaving.,UNESCO Institute for Statistics
SE.TER.ENRR.MA,Gross enrolment ratio; tertiary; male (%),Total male enrollment in tertiary education (ISCED 5 to 8); regardless of age; expressed as a percentage of the total male population of the five-year age group following on from secondary school leaving.,UNESCO Institute for Statistics
SG.GEN.PARL.ZS,Proportion of seats held by women in national parliaments (%),Women in parliaments are the percentage of parliamentary seats in a single or lower chamber held by women.,Inter-Parliamentary Union (IPU) (www.ipu.org)
SH.CON.1524.FE.ZS,Condom use; population ages 15-24; female (% of females ages 15-24),Condom use is the percentage of the population ages 15-24 who used a condom at last intercourse in the last 12 months.,Demographic and Health Surveys; and UNAIDS.
SH.CON.1524.MA.ZS,Condom use; population ages 15-24; male (% of males ages 15-24),Condom use is the percentage of the population ages 15-24 who used a condom at last intercourse in the last 12 months.,Demographic and Health Surveys; and UNAIDS.
SH.DYN.AIDS.FE.ZS,Women's share of population ages 15+ living with HIV (%),Prevalence of HIV is the percentage of people who are infected with HIV. Female rate is as a percentage of the total population ages 15+ who are living with HIV.,UNAIDS estimates.
SH.HIV.1524.FE.ZS,Prevalence of HIV; female (% ages 15-24),Prevalence of HIV is the percentage of people who are infected with HIV. Youth rates are as a percentage of the relevant age group.,UNAIDS estimates.
SH.HIV.1524.MA.ZS,Prevalence of HIV; male (% ages 15-24),Prevalence of HIV is the percentage of people who are infected with HIV. Youth rates are as a percentage of the relevant age group.,UNAIDS estimates.
SH.MMR.RISK,Lifetime risk of maternal death (1 in: rate varies by country),Life time risk of maternal death is the probability that a 15-year-old female will die eventually from a maternal cause assuming that current levels of fertility and mortality (including maternal mortality) do not change in the future; taking into account competing causes of death. ,WHO; UNICEF; UNFPA; The World Bank; and the United Nations Population Division. Trends in Maternal Mortality: 1990 to 2015. Geneva; World Health Organization; 2015
SH.MMR.RISK.ZS,Lifetime risk of maternal death (%),Life time risk of maternal death is the probability that a 15-year-old female will die eventually from a maternal cause assuming that current levels of fertility and mortality (including maternal mortality) do not change in the future; taking into account competing causes of death. ,WHO; UNICEF; UNFPA; The World Bank; and the United Nations Population Division. Trends in Maternal Mortality: 1990 to 2015. Geneva; World Health Organization; 2015
SH.PRV.SMOK.FE,Smoking prevalence; females (% of adults),"Prevalence of smoking; female is the percentage of women ages 15 and over who smoke any form of tobacco; including cigarettes; cigars; pipes or any other smoked tobacco products. Data include daily and non-daily or occasional smoking.
",World Health Organization; Global Health Observatory Data Repository (http://apps.who.int/ghodata/).
SH.PRV.SMOK.MA,Smoking prevalence; males (% of adults),"Prevalence of smoking; male is the percentage of men ages 15 and over who smoke any form of tobacco; including cigarettes; cigars; pipes or any other smoked tobacco products. Data include daily and non-daily or occasional smoking.
",World Health Organization; Global Health Observatory Data Repository (http://apps.who.int/ghodata/).
SH.STA.ANVC.ZS,Pregnant women receiving prenatal care (%),Pregnant women receiving prenatal care are the percentage of women attended at least once during pregnancy by skilled health personnel for reasons related to pregnancy.,UNICEF; State of the World's Children; Childinfo; and Demographic and Health Surveys.
SH.STA.BRTC.ZS,Births attended by skilled health staff (% of total),Births attended by skilled health staff are the percentage of deliveries attended by personnel trained to give the necessary supervision; care; and advice to women during pregnancy; labor; and the postpartum period; to conduct deliveries on their own; and to care for newborns.,UNICEF; State of the World's Children; Childinfo; and Demographic and Health Surveys.
SH.STA.MALN.FE.ZS,Prevalence of underweight; weight for age; female (% of children under 5),Prevalence of underweight children is the percentage of children under age 5 whose weight for age is more than two standard deviations below the median for the international reference population ages 0-59 months. The data are based on the WHO's new child growth standards released in 2006.,World Health Organization; Global Database on Child Growth and Malnutrition. Country-level data are unadjusted data from national surveys; and thus may not be comparable across countries.
SH.STA.MALN.MA.ZS,Prevalence of underweight; weight for age; male (% of children under 5),Prevalence of underweight children is the percentage of children under age 5 whose weight for age is more than two standard deviations below the median for the international reference population ages 0-59 months. The data are based on the WHO's new child growth standards released in 2006.,World Health Organization; Global Database on Child Growth and Malnutrition. Country-level data are unadjusted data from national surveys; and thus may not be comparable across countries.
SH.STA.MMRT,Maternal mortality ratio (modeled estimate; per 100;000 live births),Maternal mortality ratio is the number of women who die from pregnancy-related causes while pregnant or within 42 days of pregnancy termination per 100;000 live births. The data are estimated with a regression model using information on the proportion of maternal deaths among non-AIDS deaths in women ages 15-49; fertility; birth attendants; and GDP.,WHO; UNICEF; UNFPA; The World Bank; and the United Nations Population Division. Trends in Maternal Mortality: 1990 to 2015. Geneva; World Health Organization; 2015
SH.STA.MMRT.NE,Maternal mortality ratio (national estimate; per 100;000 live births),Maternal mortality ratio is the number of women who die from pregnancy-related causes while pregnant or within 42 days of pregnancy termination per 100;000 live births.,UNICEF; State of the World's Children; Childinfo; and Demographic and Health Surveys.
SL.AGR.0714.FE.ZS,Child employment in agriculture; female (% of female economically active children ages 7-14),Employment by economic activity refers to the distribution of economically active children by the major industrial categories (ISIC revision 2 or revision 3). Agriculture corresponds to division 1 (ISIC revision 2) or categories A and B (ISIC revision 3) and includes agriculture and hunting; forestry and logging; and fishing. Economically active children refer to children involved in economic activity for at least one hour in the reference week of the survey.,Understanding Children's Work project based on data from ILO; UNICEF and the World Bank.
SL.AGR.0714.MA.ZS,Child employment in agriculture; male (% of male economically active children ages 7-14),Employment by economic activity refers to the distribution of economically active children by the major industrial categories (ISIC revision 2 or revision 3). Agriculture corresponds to division 1 (ISIC revision 2) or categories A and B (ISIC revision 3) and includes agriculture and hunting; forestry and logging; and fishing. Economically active children refer to children involved in economic activity for at least one hour in the reference week of the survey.,Understanding Children's Work project based on data from ILO; UNICEF and the World Bank.
SL.AGR.EMPL.FE.ZS,Employment in agriculture; female (% of female employment),Employment is defined as persons of working age who were engaged in any activity to produce goods or provide services for pay or profit; whether at work during the reference period or not at work due to temporary absence from a job; or to working-time arrangement. The agriculture sector consists of activities in agriculture; hunting; forestry and fishing; in accordance with division 1 (ISIC 2) or categories A-B (ISIC 3) or category A (ISIC 4).,International Labour Organization; Key Indicators of the Labour Market database.
SL.AGR.EMPL.MA.ZS,Employment in agriculture; male (% of male employment),Employment is defined as persons of working age who were engaged in any activity to produce goods or provide services for pay or profit; whether at work during the reference period or not at work due to temporary absence from a job; or to working-time arrangement. The agriculture sector consists of activities in agriculture; hunting; forestry and fishing; in accordance with division 1 (ISIC 2) or categories A-B (ISIC 3) or category A (ISIC 4).,International Labour Organization; Key Indicators of the Labour Market database.
SL.EMP.1524.SP.FE.ZS,Employment to population ratio; ages 15-24; female (%) (modeled ILO estimate),Employment to population ratio is the proportion of a country's population that is employed. Ages 15-24 are generally considered the youth population.,International Labour Organization; Key Indicators of the Labour Market database.
SL.EMP.1524.SP.MA.ZS,Employment to population ratio; ages 15-24; male (%) (modeled ILO estimate),Employment to population ratio is the proportion of a country's population that is employed. Ages 15-24 are generally considered the youth population.,International Labour Organization; Key Indicators of the Labour Market database.
SL.EMP.INSV.FE.ZS,Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment),Share of women in wage employment in the nonagricultural sector is the share of female workers in wage employment in the nonagricultural sector (industry and services); expressed as a percentage of total employment in the nonagricultural sector. Industry includes mining and quarrying (including oil production); manufacturing; construction; electricity; gas; and water; corresponding to divisions 2-5 (ISIC revision 2) or tabulation categories C-F (ISIC revision 3). Services include wholesale and retail trade and restaurants and hotels; transport; storage; and communications; financing; insurance; real estate; and business services; and community; social; and personal services-corresponding to divisions 6-9 (ISIC revision 2) or tabulation categories G-P (ISIC revision 3).,International Labour Organization; Key Indicators of the Labour Market database.
SL.EMP.MPYR.FE.ZS,Employers; female (% of employment),"Employers refers are those workers who; working on their own account or with one or a few partners; hold the type of jobs defined as a ""self-employment jobs"" i.e. jobs where the remuneration is directly dependent upon the profits derived from the goods and services produced); and; in this capacity; have engaged; on a continuous basis; one or more persons to work for them as employee(s).",ILO Key Indicators of the Labour Market (KILM).
SL.EMP.MPYR.MA.ZS,Employers; male (% of employment),"Employers refers are those workers who; working on their own account or with one or a few partners; hold the type of jobs defined as a ""self-employment jobs"" i.e. jobs where the remuneration is directly dependent upon the profits derived from the goods and services produced); and; in this capacity; have engaged; on a continuous basis; one or more persons to work for them as employee(s).",ILO Key Indicators of the Labour Market (KILM).
